"X","Y"
332084.460,7390535.340
332084.950,7390535.300
332085.370,7390535.170
332085.790,7390535.440
332085.940,7390535.610
332141.560,7390535.250
332141.600,7390535.940
332141.230,7390535.450
332143.170,7390535.250
332310.490,7390535.740
332311.440,7390535.640
332311.430,7390535.430
332312.320,7390535.900
332316.960,7390535.870
332317.330,7390535.960
332317.270,7390536.090
332322.790,7390535.150
332324.000,7390536.030
332324.670,7390535.690
332324.520,7390535.780
332559.400,7390535.720
332559.400,7390535.480
332560.160,7390535.980
332560.490,7390535.480
332085.660,7390536.200
332141.510,7390536.390
332141.610,7390536.450
332310.880,7390536.560
332317.950,7390536.130
332318.790,7390536.600
332322.360,7390536.260
332322.230,7390536.340
332322.900,7390536.290
332323.570,7390536.450
332323.330,7390536.500
332324.750,7390536.470
332559.010,7390536.410
332558.850,7390536.230
332559.190,7390536.210
332559.330,7390536.490
332560.020,7390536.150
332141.580,7390536.960
332142.930,7390536.800
332302.550,7390536.890
332310.090,7390536.640
332310.260,7390537.110
332319.130,7390536.820
332323.100,7390536.670
332325.400,7390536.910
332558.440,7390536.910
332558.970,7390536.930
332141.420,7390537.510
332301.570,7390537.230
332302.380,7390537.600
332302.800,7390537.120
332309.410,7390537.480
332310.800,7390537.570
332311.610,7390537.270
332321.690,7390537.210
332322.740,7390537.410
332323.470,7390537.220
332325.740,7390537.490
332557.630,7390537.190
332558.870,7390537.380
332558.830,7390537.170
332559.440,7390537.540
332117.010,7390537.960
332302.050,7390537.860
332302.410,7390537.620
332310.660,7390538.020
332320.950,7390537.770
332321.480,7390537.900
332322.890,7390538.100
332325.810,7390537.690
332558.940,7390537.760
332141.600,7390538.350
332141.520,7390538.360
332302.090,7390538.430
332302.070,7390538.590
332302.670,7390538.300
332321.040,7390538.480
332322.050,7390538.250
332116.290,7390538.810
332117.220,7390538.990
332117.880,7390538.890
332118.550,7390538.900
332141.560,7390538.910
332141.570,7390538.670
332302.120,7390538.640
332302.150,7390538.650
332302.190,7390538.690
332302.380,7390538.660
332309.050,7390538.900
332310.260,7390538.870
332321.060,7390538.700
332321.530,7390539.010
332321.810,7390538.910
